17/08/07 22:24
プロジェクトの翻訳状況

            	  分節数	   単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	10632	102567	    620319	    708427	  111	
未翻訳：        	10627	102562	    620190	    708298	  111	
繰り返しを除いた：   	 8684	 98167	    588978	    673932	  111	
繰り返しを除いた未翻訳：	 8681	 98164	    588903	    673857	  111	


ファイルごとの翻訳状況：

ファイル名                                                  	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
user_guide_src/source/general/modules.rst              	     91	    91	         85	            85	    823	   823	        820	           820	          4791	         4791	              4759	                 4759	          5467	         5467	              5433	                 5433	
user_guide_src/source/general/routing.rst              	    255	   255	        245	           245	   3320	  3320	       3317	          3317	         19147	        19147	             19105	                19105	         21835	        21835	             21791	                21791	
user_guide_src/source/general/testing.rst              	    140	   140	         94	            94	    896	   896	        868	           868	          5551	         5551	              5267	                 5267	          6309	         6309	              6003	                 6003	
user_guide_src/source/general/urls.rst                 	     35	    35	         30	            30	    386	   386	        383	           383	          2245	         2245	              2235	                 2235	          2573	         2573	              2563	                 2563	
user_guide_src/source/general/view_cells.rst           	     46	    46	         35	            35	    369	   369	        345	           345	          2204	         2204	              2006	                 2006	          2499	         2499	              2286	                 2286	
user_guide_src/source/general/view_parser.rst          	    283	   283	        250	           250	   3225	  3225	       3111	          3111	         20951	        20951	             20013	                20013	         24720	        24720	             23718	                23718	
user_guide_src/source/general/view_renderer.rst        	     78	    78	         53	            53	    991	   991	        802	           802	          5525	         5525	              4438	                 4438	          6387	         6387	              5143	                 5143	
user_guide_src/source/general/views.rst                	     99	    99	         83	            83	    984	   984	        947	           947	          5564	         5564	              5286	                 5286	          6399	         6399	              6100	                 6100	
user_guide_src/source/helpers/cookie_helper.rst        	     34	    34	         23	            23	    342	   342	        333	           333	          2267	         2267	              2187	                 2187	          2522	         2522	              2439	                 2439	
user_guide_src/source/helpers/filesystem_helper.rst    	    105	   105	         72	            72	    996	   996	        970	           970	          6681	         6681	              6403	                 6403	          7438	         7438	              7150	                 7150	
user_guide_src/source/helpers/form_helper.rst          	    369	   369	        251	           251	   3387	  3387	       2886	          2886	         21090	        21090	             18167	                18167	         23644	        23644	             20405	                20405	
